Day_,hour_,House_overall_kW,Dishwasher_kW,Furnace_kW,Home_office_kW,Fridge_kW,Garage_door_kW,Kitchen_kW,Microwave_kW,Living_room_kW,Solar_kW,temperature,humidity,visibility,pressure,windSpeed
1,0,1.04413,6e-05,0.13463,0.24181,0.03786,0.01305,0.00061,0.02165,0.0015,0.00331,36.131,0.61967,10,1016.888,9.15033
1,1,0.91817,0.0001,0.23657,0.04329,0.07552,0.01284,0.00055,0.00422,0.00162,0.00342,35.83867,0.61,10,1016.232,8.284
1,2,0.71474,4e-05,0.09942,0.04342,0.05949,0.0133,0.00058,0.00425,0.00163,0.00345,35.385,0.613,10,1015.989,7.927
1,3,0.96001,0.00014,0.37515,0.06501,0.06041,0.01293,0.00062,0.00427,0.00163,0.00345,35.282,0.64,10,1016.042,5.68467
1,4,0.63984,6e-05,0.153,0.04339,0.03511,0.01322,0.00066,0.00426,0.00165,0.00344,35.45167,0.64167,10,1015.815,6.975
1,5,1.21942,7e-05,0.36089,0.04324,0.05133,0.01306,0.00059,0.00425,0.00162,0.00343,35.206,0.652,10,1015.576,6.466
1,6,0.79875,8e-05,0.17578,0.04327,0.05936,0.01312,0.00059,0.00421,0.00161,0.00342,35.00633,0.66,10,1015.57367,6.35267
1,7,0.53705,9e-05,0.20639,0.04283,0.04872,0.01291,0.00065,0.00426,0.00159,0.00342,34.99867,0.66533,10,1015.70733,5.82867
1,8,0.35838,1e-05,0.02055,0.04178,0.04428,0.0131,0.00063,0.00421,0.00156,0.00648,35.091,0.671,10,1015.623,5.858
1,9,0.75672,6e-05,0.12761,0.04172,0.02672,0.01286,0.00068,0.01394,0.31518,0.11487,36.10667,0.64,10,1015.69333,5.41333
1,10,1.47058,0.00011,0.2862,0.04152,0.04381,0.0129,0.0005,0.00423,0.33379,0.05157,36.90167,0.62,10,1015.50033,5.95767
1,11,1.32164,0.00011,0.19632,0.09471,0.1212,0.01294,0.00047,0.02846,0.14508,0.01872,37.046,0.608,10,1014.798,8.258
1,12,1.91669,0.0001,0.18673,0.04132,0.11839,0.01289,0.00053,0.00413,0.10076,0.02038,37.23633,0.59,10,1013.82867,9.52933
1,13,2.09539,0.00025,0.4453,0.04155,0.11372,0.01221,0.00065,0.02777,0.09958,0.02699,37.16333,0.58533,10,1013.04067,8.59133
1,14,1.30432,0.4877,0.0421,0.04147,0.11676,0.01731,0.00051,0.00411,0.0338,0.02168,36.88,0.59,9.535,1012.575,7.35
1,15,1.27128,0.50193,0.04597,0.04088,0.10894,0.01253,0.00049,0.06521,0.00151,0.00233,36.218,0.60533,9.51267,1012.44,8.082
