Day_,hour_,House_overall_kW,Dishwasher_kW,Furnace_kW,Home_office_kW,Fridge_kW,Garage_door_kW,Kitchen_kW,Microwave_kW,Living_room_kW,Solar_kW,temperature,humidity,visibility,pressure,windSpeed
71,0,0.35649,1e-05,0.02034,0.04147,0.04724,0.01305,0.00058,0.00417,0.00163,0.00351,53.95333,0.324,10,1017.71133,10.462
71,1,0.37196,1e-05,0.02045,0.04148,0.04438,0.0131,0.00059,0.00413,0.00163,0.00352,55.91533,0.262,10,1017.84633,9.44833
71,2,0.37915,1e-05,0.02064,0.04181,0.04718,0.02302,0.0006,0.0042,0.00157,0.00356,57.64033,0.229,10,1017.85,7.75
71,3,0.36915,1e-05,0.02074,0.04159,0.04338,0.01325,0.00061,0.00418,0.00155,0.00356,60.02067,0.19867,10,1017.254,7.98933
71,4,0.36777,1e-05,0.02048,0.04146,0.04541,0.01311,0.00059,0.00407,0.00149,0.00342,60.792,0.179,10,1017.053,7.081
71,5,0.36023,1e-05,0.0204,0.04143,0.04426,0.01307,0.00059,0.004,0.00153,0.00318,61.16733,0.17,10,1017.316,5.31267
71,6,0.35878,1e-05,0.0203,0.04062,0.04211,0.01299,0.00059,0.004,0.00147,0.00262,59.71,0.17333,10,1017.73167,5.09
71,7,0.70519,1e-05,0.04083,0.03962,0.05659,0.01279,0.00062,0.00403,0.21021,0.00267,57.62,0.198,10,1018.084,2.844
71,8,0.76566,1e-05,0.06428,0.0395,0.05096,0.01786,0.00281,0.004,0.11297,0.01232,54.08833,0.24633,10,1018.57433,1.365
71,9,0.81277,2e-05,0.08308,0.03945,0.06324,0.01283,0.00067,0.01924,0.00152,0.14926,51.57267,0.31867,10,1019.118,1.966
71,10,0.25782,1e-05,0.02028,0.03951,0.06514,0.01297,0.00056,0.00415,0.00148,0.39257,49.532,0.373,10,1019.715,2.934
71,11,0.34363,1e-05,0.02021,0.15162,0.046,0.01294,0.00065,0.00408,0.00154,0.39423,48.76,0.37667,10,1020.13667,3.39
71,12,0.32951,0,0.02032,0.12054,0.05317,0.01299,0.00061,0.05053,0.0985,0.44375,48.956,0.35167,10,1020.405,3.67867
71,13,0.21129,1e-05,0.02037,0.11492,0.05063,0.01301,0.00062,0.00399,0.00142,0.39969,49.632,0.312,10,1020.66,4.618
71,14,0.86416,0.0005,0.73729,0.1081,0.04331,0.01195,0.00068,0.00398,0.00143,0.28964,49.25167,0.30867,10,1021.13833,5.14333
71,15,0.51207,2e-05,0.02034,0.2966,0.05001,0.01288,0.00062,0.004,0.02383,0.26137,48.48067,0.33867,10,1021.576,6.85267
71,16,0.62978,2e-05,0.02026,0.29136,0.04415,0.01282,0.00064,0.00397,0.00147,0.13101,47.82,0.35,10,1021.785,7.915
71,17,0.40876,1e-05,0.03984,0.04055,0.05401,0.01292,0.0006,0.00398,0.00356,0.02151,46.58333,0.35067,10,1022.042,8.91867
71,18,0.76458,0,0.02011,0.04174,0.04572,0.01782,0.00051,0.00395,0.32823,0.00327,44.41867,0.41667,10,1022.533,8.28167
71,19,0.8697,0,0.02025,0.04142,0.05829,0.01297,0.00051,0.00443,0.0012,0.00282,42.44,0.514,10,1022.816,7.484
71,20,0.97873,1e-05,0.02041,0.21322,0.04778,0.01299,0.00071,0.00433,0.00143,0.00308,41.23733,0.59433,10,1023.087,8.16033
71,21,0.78203,1e-05,0.02069,0.40758,0.04312,0.01308,0.00062,0.00412,0.0016,0.00344,40.37333,0.67333,9.7,1023.59,8.59
71,22,0.59211,1e-05,0.02041,0.15878,0.04803,0.013,0.00057,0.00414,0.00158,0.00342,39.529,0.742,8.136,1024.057,7.162
71,23,0.37245,1e-05,0.02045,0.0409,0.03995,0.01306,0.0006,0.00414,0.00162,0.00344,38.64933,0.782,7.72067,1023.96733,6.85733
72,0,0.38516,1e-05,0.02301,0.04089,0.0443,0.01318,0.00059,0.00416,0.00162,0.00346,38.34333,0.80533,8.16567,1023.65233,7.141
72,1,0.48377,5e-05,0.13484,0.04089,0.04064,0.01303,0.00061,0.0041,0.00158,0.00344,38.4,0.818,7.88,1023.268,7.014
72,2,0.54859,6e-05,0.17301,0.04085,0.04116,0.01299,0.00062,0.004,0.00159,0.0031,38.545,0.82,8.28,1022.54833,8.18667
72,3,0.74765,7e-05,0.24935,0.04085,0.04257,0.01297,0.0006,0.004,0.0016,0.00309,38.86467,0.80267,8.822,1022.056,7.61533
72,4,0.56829,2e-05,0.06243,0.04072,0.03905,0.01318,0.00058,0.004,0.00161,0.00305,39.135,0.809,8.53,1021.577,7.31
